province,city,update_time,nowConfirm,confirm,suspect,dead,deadRate,showRate,heal,healRate,showHeal
山东,聊城,2020-03-26 13:01:49,0,38,0,0,0.00,False,38,100.00,True
山东,德州,2020-03-26 13:01:49,0,37,0,2,5.41,False,35,94.59,True
江苏,境外输入,2020-03-26 13:01:49,9,9,0,0,0.00,False,0,0.00,True
江苏,连云港,2020-03-26 13:01:49,0,48,0,0,0.00,False,48,100.00,True
江苏,南通,2020-03-26 13:01:49,0,40,0,0,0.00,False,40,100.00,True
江苏,苏州,2020-03-26 13:01:49,0,87,0,0,0.00,False,87,100.00,True
江苏,南京,2020-03-26 13:01:49,0,93,0,0,0.00,False,93,100.00,True
江苏,无锡,2020-03-26 13:01:49,0,55,0,0,0.00,False,55,100.00,True
江苏,徐州,2020-03-26 13:01:49,0,79,0,0,0.00,False,79,100.00,True
江苏,宿迁,2020-03-26 13:01:49,0,13,0,0,0.00,False,13,100.00,True
江苏,淮安,2020-03-26 13:01:49,0,66,0,0,0.00,False,66,100.00,True
江苏,镇江,2020-03-26 13:01:49,0,12,0,0,0.00,False,12,100.00,True
江苏,常州,2020-03-26 13:01:49,0,51,0,0,0.00,False,51,100.00,True
江苏,扬州,2020-03-26 13:01:49,0,23,0,0,0.00,False,23,100.00,True
江苏,盐城,2020-03-26 13:01:49,0,27,0,0,0.00,False,27,100.00,True
江苏,泰州,2020-03-26 13:01:49,0,37,0,0,0.00,False,37,100.00,True
陕西,境外输入,2020-03-26 13:01:49,8,8,0,0,0.00,False,0,0.00,True
陕西,地区待确认,2020-03-26 13:01:49,0,0,0,0,0.00,False,0,0.00,True
陕西,咸阳,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
陕西,西安,2020-03-26 13:01:49,0,120,0,3,2.50,False,117,97.50,True
陕西,渭南,2020-03-26 13:01:49,0,15,0,0,0.00,False,15,100.00,True
陕西,汉中,2020-03-26 13:01:49,0,26,0,0,0.00,False,26,100.00,True
陕西,杨凌,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
陕西,韩城,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
陕西,榆林,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
陕西,商洛,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
陕西,铜川,2020-03-26 13:01:49,0,8,0,0,0.00,False,8,100.00,True
陕西,延安,2020-03-26 13:01:49,0,8,0,0,0.00,False,8,100.00,True
陕西,宝鸡,2020-03-26 13:01:49,0,13,0,0,0.00,False,13,100.00,True
陕西,安康,2020-03-26 13:01:49,0,26,0,0,0.00,False,26,100.00,True
四川,成都,2020-03-26 13:01:49,8,152,0,3,1.97,False,141,92.76,True
四川,南充,2020-03-26 13:01:49,0,39,0,0,0.00,False,39,100.00,True
四川,甘孜,2020-03-26 13:01:49,0,78,0,0,0.00,False,78,100.00,True
四川,阿坝,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
四川,资阳,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
四川,眉山,2020-03-26 13:01:49,0,8,0,0,0.00,False,8,100.00,True
四川,巴中,2020-03-26 13:01:49,0,24,0,0,0.00,False,24,100.00,True
四川,达州,2020-03-26 13:01:49,0,42,0,0,0.00,False,42,100.00,True
四川,广安,2020-03-26 13:01:49,0,30,0,0,0.00,False,30,100.00,True
四川,宜宾,2020-03-26 13:01:49,0,12,0,0,0.00,False,12,100.00,True
四川,凉山,2020-03-26 13:01:49,0,13,0,0,0.00,False,13,100.00,True
四川,乐山,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
四川,内江,2020-03-26 13:01:49,0,22,0,0,0.00,False,22,100.00,True
四川,遂宁,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
四川,广元,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
四川,绵阳,2020-03-26 13:01:49,0,22,0,0,0.00,False,22,100.00,True
四川,德阳,2020-03-26 13:01:49,0,18,0,0,0.00,False,18,100.00,True
四川,泸州,2020-03-26 13:01:49,0,24,0,0,0.00,False,24,100.00,True
四川,攀枝花,2020-03-26 13:01:49,0,16,0,0,0.00,False,16,100.00,True
四川,自贡,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
四川,雅安,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
云南,境外输入,2020-03-26 13:01:49,4,4,0,0,0.00,False,0,0.00,True
云南,昭通市,2020-03-26 13:01:49,0,25,0,0,0.00,False,25,100.00,True
云南,德宏州,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
云南,昆明,2020-03-26 13:01:49,0,53,0,0,0.00,False,53,100.00,True
云南,保山市,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
云南,玉溪,2020-03-26 13:01:49,0,14,0,1,7.14,False,13,92.86,True
云南,红河,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
云南,曲靖,2020-03-26 13:01:49,0,13,0,0,0.00,False,13,100.00,True
云南,大理,2020-03-26 13:01:49,0,13,0,0,0.00,False,13,100.00,True
云南,西双版纳州,2020-03-26 13:01:49,0,15,0,1,6.67,False,14,93.33,True
云南,文山州,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
云南,普洱,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
云南,楚雄州,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
云南,丽江市,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
云南,临沧,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
河南,境外输入,2020-03-26 13:01:49,3,3,0,0,0.00,False,0,0.00,True
河南,漯河,2020-03-26 13:01:49,0,35,0,0,0.00,False,35,100.00,True
河南,周口,2020-03-26 13:01:49,0,76,0,1,1.32,False,75,98.68,True
河南,南阳,2020-03-26 13:01:49,0,156,0,3,1.92,False,153,98.08,True
河南,信阳,2020-03-26 13:01:49,0,274,0,2,0.73,False,272,99.27,True
河南,郑州,2020-03-26 13:01:49,0,157,0,5,3.18,False,152,96.82,True
河南,济源示范区,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
河南,安阳,2020-03-26 13:01:49,0,53,0,0,0.00,False,53,100.00,True
河南,新乡,2020-03-26 13:01:49,0,57,0,3,5.26,False,54,94.74,True
河南,许昌,2020-03-26 13:01:49,0,39,0,1,2.56,False,38,97.44,True
河南,地区待确认,2020-03-26 13:01:49,0,0,0,0,0.00,False,0,0.00,True
河南,商丘,2020-03-26 13:01:49,0,91,0,3,3.30,False,88,96.70,True
河南,驻马店,2020-03-26 13:01:49,0,139,0,0,0.00,False,139,100.00,True
河南,焦作,2020-03-26 13:01:49,0,32,0,1,3.12,False,31,96.88,True
河南,开封,2020-03-26 13:01:49,0,26,0,0,0.00,False,26,100.00,True
河南,平顶山,2020-03-26 13:01:49,0,58,0,1,1.72,False,57,98.28,True
河南,洛阳,2020-03-26 13:01:49,0,31,0,1,3.23,False,30,96.77,True
河南,濮阳,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
河南,鹤壁,2020-03-26 13:01:49,0,19,0,0,0.00,False,19,100.00,True
河南,三门峡,2020-03-26 13:01:49,0,7,0,1,14.29,False,6,85.71,True
河北,唐山,2020-03-26 13:01:49,2,58,0,1,1.72,False,55,94.83,True
河北,境外输入,2020-03-26 13:01:49,1,1,0,0,0.00,False,0,0.00,True
河北,张家口,2020-03-26 13:01:49,0,41,0,0,0.00,False,41,100.00,True
河北,邯郸,2020-03-26 13:01:49,0,32,0,0,0.00,False,32,100.00,True
河北,石家庄,2020-03-26 13:01:49,0,29,0,0,0.00,False,29,100.00,True
河北,承德,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
河北,衡水,2020-03-26 13:01:49,0,8,0,0,0.00,False,8,100.00,True
河北,秦皇岛,2020-03-26 13:01:49,0,10,0,1,10.00,False,9,90.00,True
河北,邢台,2020-03-26 13:01:49,0,23,0,1,4.35,False,22,95.65,True
河北,廊坊,2020-03-26 13:01:49,0,30,0,0,0.00,False,30,100.00,True
河北,保定,2020-03-26 13:01:49,0,32,0,0,0.00,False,32,100.00,True
河北,沧州,2020-03-26 13:01:49,0,48,0,3,6.25,False,45,93.75,True
重庆,境外输入,2020-03-26 13:01:49,2,2,0,0,0.00,False,0,0.00,True
重庆,涪陵区,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
重庆,荣昌区,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
重庆,大足区,2020-03-26 13:01:49,0,14,0,0,0.00,False,14,100.00,True
重庆,綦江区,2020-03-26 13:01:49,0,23,0,0,0.00,False,23,100.00,True
重庆,丰都县,2020-03-26 13:01:49,0,10,0,0,0.00,False,10,100.00,True
重庆,潼南区,2020-03-26 13:01:49,0,18,0,0,0.00,False,18,100.00,True
重庆,铜梁区,2020-03-26 13:01:49,0,10,0,0,0.00,False,10,100.00,True
重庆,南岸区,2020-03-26 13:01:49,0,15,0,0,0.00,False,15,100.00,True
重庆,九龙坡区,2020-03-26 13:01:49,0,21,0,1,4.76,False,20,95.24,True
重庆,沙坪坝区,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
重庆,江北区,2020-03-26 13:01:49,0,28,0,0,0.00,False,28,100.00,True
重庆,两江新区,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
重庆,万州区,2020-03-26 13:01:49,0,118,0,4,3.39,False,114,96.61,True
重庆,巴南区,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
重庆,渝中区,2020-03-26 13:01:49,0,20,0,0,0.00,False,20,100.00,True
重庆,垫江县,2020-03-26 13:01:49,0,20,0,0,0.00,False,20,100.00,True
重庆,云阳县,2020-03-26 13:01:49,0,25,0,0,0.00,False,25,100.00,True
重庆,奉节县,2020-03-26 13:01:49,0,22,0,0,0.00,False,22,100.00,True
重庆,石柱县,2020-03-26 13:01:49,0,15,0,0,0.00,False,15,100.00,True
重庆,长寿区,2020-03-26 13:01:49,0,22,0,0,0.00,False,22,100.00,True
重庆,渝北区,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
重庆,彭水县,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
重庆,忠县,2020-03-26 13:01:49,0,21,0,0,0.00,False,21,100.00,True
重庆,开州区,2020-03-26 13:01:49,0,21,0,1,4.76,False,20,95.24,True
重庆,合川区,2020-03-26 13:01:49,0,23,0,0,0.00,False,23,100.00,True
重庆,巫溪县,2020-03-26 13:01:49,0,14,0,0,0.00,False,14,100.00,True
重庆,大渡口区,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
重庆,巫山县,2020-03-26 13:01:49,0,10,0,0,0.00,False,10,100.00,True
重庆,万盛经开区,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
重庆,酉阳县,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
重庆,璧山区,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
重庆,高新区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
重庆,永川区,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
重庆,江津区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
重庆,武隆区,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
重庆,梁平区,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
重庆,城口县,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
重庆,黔江区,2020-03-26 13:01:49,0,2,0,0,0.00,False,2,100.00,True
重庆,秀山县,2020-03-26 13:01:49,0,1,0,0,0.00,False,1,100.00,True
黑龙江,境外输入,2020-03-26 13:01:49,2,2,0,0,0.00,False,0,0.00,True
黑龙江,齐齐哈尔,2020-03-26 13:01:49,0,43,0,1,2.33,False,42,97.67,True
黑龙江,黑河,2020-03-26 13:01:49,0,14,0,0,0.00,False,14,100.00,True
黑龙江,哈尔滨,2020-03-26 13:01:49,0,198,0,4,2.02,False,194,97.98,True
黑龙江,大庆,2020-03-26 13:01:49,0,26,0,1,3.85,False,25,96.15,True
黑龙江,大兴安岭,2020-03-26 13:01:49,0,3,0,0,0.00,False,3,100.00,True
黑龙江,双鸭山,2020-03-26 13:01:49,0,52,0,3,5.77,False,49,94.23,True
黑龙江,绥化,2020-03-26 13:01:49,0,47,0,4,8.51,False,43,91.49,True
黑龙江,鹤岗,2020-03-26 13:01:49,0,5,0,0,0.00,False,5,100.00,True
黑龙江,牡丹江,2020-03-26 13:01:49,0,15,0,0,0.00,False,15,100.00,True
黑龙江,七台河,2020-03-26 13:01:49,0,17,0,0,0.00,False,17,100.00,True
黑龙江,鸡西,2020-03-26 13:01:49,0,46,0,0,0.00,False,46,100.00,True
