省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
福建,三明,2020-06-21 11:12:36,0,14,14,0,0,0
福建,泉州,2020-06-21 11:12:36,0,47,47,0,0,0
福建,厦门,2020-06-21 11:12:36,0,35,35,0,0,0
福建,福州,2020-06-21 11:12:36,0,72,71,1,0,0
辽宁,沈阳,2020-06-21 11:12:36,3,34,31,0,0,0
辽宁,境外输入,2020-06-21 11:12:36,1,22,21,0,0,0
辽宁,铁岭,2020-06-21 11:12:36,0,7,7,0,0,0
辽宁,大连,2020-06-21 11:12:36,0,18,18,0,0,0
辽宁,朝阳市,2020-06-21 11:12:36,0,6,5,1,0,0
辽宁,丹东,2020-06-21 11:12:36,0,11,11,0,0,0
辽宁,葫芦岛,2020-06-21 11:12:36,0,12,11,1,0,0
辽宁,抚顺,2020-06-21 11:12:36,0,1,1,0,0,0
辽宁,鞍山,2020-06-21 11:12:36,0,4,4,0,0,0
辽宁,锦州,2020-06-21 11:12:36,0,12,12,0,0,0
辽宁,盘锦,2020-06-21 11:12:36,0,11,11,0,0,0
辽宁,阜新,2020-06-21 11:12:36,0,8,8,0,0,0
辽宁,本溪,2020-06-21 11:12:36,0,3,3,0,0,0
辽宁,辽阳,2020-06-21 11:12:36,0,3,3,0,0,0
辽宁,营口,2020-06-21 11:12:36,0,1,1,0,0,0
天津,境外输入,2020-06-21 11:12:36,2,60,58,0,0,0
天津,北辰区,2020-06-21 11:12:36,1,7,6,0,0,0
天津,和平区,2020-06-21 11:12:36,0,6,6,0,0,0
天津,河北区,2020-06-21 11:12:36,0,12,12,0,0,0
天津,津南区,2020-06-21 11:12:36,0,2,2,0,0,0
天津,南开区,2020-06-21 11:12:36,0,6,6,0,0,0
天津,河东区,2020-06-21 11:12:36,0,15,14,1,0,0
天津,宁河区,2020-06-21 11:12:36,0,4,4,0,0,0
天津,宝坻区,2020-06-21 11:12:36,0,60,58,2,0,0
天津,外地来津,2020-06-21 11:12:36,0,6,6,0,0,0
天津,滨海新区,2020-06-21 11:12:36,0,3,3,0,0,0
天津,武清区,2020-06-21 11:12:36,0,2,2,0,0,0
天津,东丽区,2020-06-21 11:12:36,0,4,4,0,0,0
天津,河西区,2020-06-21 11:12:36,0,4,4,0,0,0
天津,西青区,2020-06-21 11:12:36,0,4,4,0,0,0
天津,红桥区,2020-06-21 11:12:36,0,2,2,0,0,0
重庆,境外输入,2020-06-21 11:12:36,3,6,3,0,0,0
重庆,涪陵区,2020-06-21 11:12:36,0,5,5,0,0,0
重庆,荣昌区,2020-06-21 11:12:36,0,9,9,0,0,0
重庆,长寿区,2020-06-21 11:12:36,0,22,22,0,0,0
重庆,大足区,2020-06-21 11:12:36,0,14,14,0,0,0
重庆,九龙坡区,2020-06-21 11:12:36,0,21,20,1,0,0
重庆,沙坪坝区,2020-06-21 11:12:36,0,9,9,0,0,0
重庆,江北区,2020-06-21 11:12:36,0,28,28,0,0,0
重庆,丰都县,2020-06-21 11:12:36,0,10,10,0,0,0
重庆,潼南区,2020-06-21 11:12:36,0,18,18,0,0,0
重庆,铜梁区,2020-06-21 11:12:36,0,10,10,0,0,0
重庆,南岸区,2020-06-21 11:12:36,0,15,15,0,0,0
重庆,两江新区,2020-06-21 11:12:36,0,17,17,0,0,0
重庆,万州区,2020-06-21 11:12:36,0,118,114,4,0,0
重庆,巴南区,2020-06-21 11:12:36,0,6,6,0,0,0
重庆,石柱县,2020-06-21 11:12:36,0,15,15,0,0,0
重庆,渝中区,2020-06-21 11:12:36,0,20,20,0,0,0
重庆,垫江县,2020-06-21 11:12:36,0,20,20,0,0,0
重庆,云阳县,2020-06-21 11:12:36,0,25,25,0,0,0
重庆,奉节县,2020-06-21 11:12:36,0,22,22,0,0,0
重庆,綦江区,2020-06-21 11:12:36,0,23,23,0,0,0
重庆,渝北区,2020-06-21 11:12:36,0,17,17,0,0,0
重庆,彭水县,2020-06-21 11:12:36,0,2,2,0,0,0
重庆,忠县,2020-06-21 11:12:36,0,21,21,0,0,0
重庆,开州区,2020-06-21 11:12:36,0,21,20,1,0,0
重庆,合川区,2020-06-21 11:12:36,0,23,23,0,0,0
重庆,大渡口区,2020-06-21 11:12:36,0,7,7,0,0,0
重庆,巫溪县,2020-06-21 11:12:36,0,14,14,0,0,0
重庆,巫山县,2020-06-21 11:12:36,0,10,10,0,0,0
重庆,万盛经开区,2020-06-21 11:12:36,0,1,1,0,0,0
重庆,璧山区,2020-06-21 11:12:36,0,9,9,0,0,0
重庆,酉阳县,2020-06-21 11:12:36,0,1,1,0,0,0
重庆,高新区,2020-06-21 11:12:36,0,4,4,0,0,0
重庆,永川区,2020-06-21 11:12:36,0,5,5,0,0,0
重庆,江津区,2020-06-21 11:12:36,0,4,4,0,0,0
重庆,武隆区,2020-06-21 11:12:36,0,1,1,0,0,0
重庆,梁平区,2020-06-21 11:12:36,0,4,4,0,0,0
重庆,城口县,2020-06-21 11:12:36,0,2,2,0,0,0
重庆,黔江区,2020-06-21 11:12:36,0,2,2,0,0,0
重庆,秀山县,2020-06-21 11:12:36,0,1,1,0,0,0
海南,境外输入,2020-06-21 11:12:36,2,2,0,0,0,0
海南,三亚,2020-06-21 11:12:36,1,55,53,1,0,0
海南,琼中县,2020-06-21 11:12:36,0,1,1,0,0,0
海南,海口,2020-06-21 11:12:36,0,39,39,0,0,0
海南,儋州,2020-06-21 11:12:36,0,15,14,1,0,0
海南,东方,2020-06-21 11:12:36,0,3,2,1,0,0
海南,万宁,2020-06-21 11:12:36,0,13,13,0,0,0
海南,澄迈县,2020-06-21 11:12:36,0,9,8,1,0,0
海南,昌江县,2020-06-21 11:12:36,0,7,7,0,0,0
海南,保亭,2020-06-21 11:12:36,0,3,3,0,0,0
海南,琼海,2020-06-21 11:12:36,0,6,5,1,0,0
海南,临高县,2020-06-21 11:12:36,0,6,6,0,0,0
